Obs,Segment,Stream Type,Bedform,Ph2SedReg,Class,ElevDS,L,DA,W_Ph2,D84,S,VC,VC_rat,ER,WtoD,IR,d50,d84_d16,nBars,nFCs,pArmor,SSP,SSP_bal
1,23_T2.01-,F3,Plane Bed,FSTCD,4,188.9667784,644.0109723,138.4444863,28.64980189,245.2366625,1.18315196,6.936170213,1.493014416,1.212765932,35.60606003,2.306306124,183.1193898,232.4832283,7.763842877,1.552768575,0,178.4779675,1.051487124
2,23_T2.02-,D3,Plane Bed,FSTCD,4,196.5864066,947.2721731,138.2672555,30.1127705,253.7556839,1.12612617,4.645748988,0.522066043,2.98582983,54.88889313,1,188.1020106,241.0387066,8.445302445,0,0,169.7386144,1.184488498
3,23_T2.03A,C3,Riffle Pool,FSTCD,4,207.253886,496.494971,67.04678913,27.40018287,320.8185812,1.5,8.898776418,1.460701593,4.449388027,64.2142868,1.69230783,110.5283095,318.9696819,22.15531001,6.042357274,0,143.3011926,0.834369186
4,23_T2.03B,F3,Plane Bed,UST,3,214.8735142,240.7802499,66.91471472,20.51203901,293.2403023,1.8,6.092124814,4.906263231,1.337295651,39.58823776,2,128,245.7272198,16.61265823,4.153164557,0,171.7479445,0.818609987
5,23_T2.03C,A3b,Cascade,TR,1,219.1405059,155.1356294,66.85916878,16.69109139,2936.740348,2.2,1.24170362,0.197365523,1.4,12,1,234.4218561,2740.862783,6.445972495,6.445972495,0,209.8043601,0.787544326
6,23_T2.03D,F3b,Plane Bed,FSTCD,4,222.4931423,216.3974398,66.6127297,18.40902164,316.6120039,2.8,6.291390728,0.211111111,1.158940315,31.78947449,2.241379261,153.792781,270.0643936,0,0,0,266.4032399,1.474910576
7,23_T2.04A,F3,Plane Bed,FSTCD,4,228.5888449,637.6104846,66.52483453,18.40902164,316.6120039,1.9,29.8013245,0.503110867,1.158940315,31.78947449,2.241379261,153.792781,270.0643936,6.273422562,4.705066922,0,180.6233166,1.028271279
8,23_T2.04B,D3b,Plane Bed,DEP,6,240.7802499,781.1642792,54.29652785,15.23048077,316.6120039,2.1,59.23411009,1.404421642,99,99,1,153.792781,270.0643936,12.8014046,10.24112368,0,175.6572612,0.642180018
9,23_T2.04C,F2b,Plane Bed,FSTCD,4,257.5434319,776.8972874,53.5180082,17.92136544,445.7028435,3.3,42.17687075,14.76190476,1.190476179,30.15384483,3.342857122,290.6777482,360.6741668,7.723028639,7.723028639,0.209370341,273.5327418,0.884808291
10,23_T2.05-,C2b,Step Pool,CST,2,283.4501676,4724.169461,53.23872626,18.13471503,456.2082453,3.741935492,2.857142857,0.482625483,2.689075708,23.8955822,1.882352948,302.9177458,384.5523167,1.905096774,4.021870968,0.006686129,309.1435112,1.308523614
11,23_T2S1S1.01A,C4,Plane Bed,CEFD,5,216.3974398,113.9896373,35.94460025,12.40475465,108.0900179,0.5,6.142506143,0.939291564,19.65601921,21.8817215,1.172413826,42.03393096,108.0280179,8.772727273,0,0,32.25222081,0.55574357
12,23_T2S1S1.01B,F4,Plane Bed,UST,3,217.0070101,208.7778116,35.92529985,11.18561414,160.8465938,0.9,6.539509537,0.600445876,1.471389651,18.35000038,1.366666675,58.1381992,139.9152473,14.36934307,0,0.429759124,58.03435715,0.50124387
13,23_T2S1S1.01C,C3,Plane Bed,UST,3,218.8357208,377.0192015,35.78389342,9.234989333,457.2008804,1.8,10.89108911,5.320074544,2.376237631,12.62499905,1.924999952,253.1078012,401.6113519,0,0,0.794296686,115.780682,0.644506781
14,23_T2S1S1.02A,B1,Step Pool,TR,1,225.5409936,272.7826882,35.6386215,12.65491119,293.3359396,2.8,2.047168516,0.531126498,1.6,12,1,92.47178416,275.239338,3.665921788,3.665921788,0,179.6423022,2.003851192
15,23_T2S1S1.02B,F3,Plane Bed,UST,3,233.1606218,315.4526059,35.52996272,14.23346541,402.2829279,1.4,3.854389722,0.514234887,1.156316876,25.38043404,2.482758522,197.9771472,356.0470359,3.170048309,0,0.214830918,89.64852425,1.333514309
16,23_T2S1S1.03-,C4,Riffle Pool,CEFD,5,237.7323987,1592.197501,35.37070317,13.21548308,103.3736166,1.05283308,7.495387454,0.563562966,2.006457567,22.58333397,1,45.84198689,99.84280458,26.37863706,3.140313936,0.074092649,67.22726833,0.744530782
17,27_M03-,C5,Dune Ripple,CEFD,5,29.25937214,1667.479427,207.4625287,19.90246876,3.194423423,0.036556389,18.37672282,1.356856657,15.77335262,14.840909,1.029850841,0.854248238,3.132423423,1.199415098,1.199415098,0.01642113,7.115013003,0.490397243
18,27_M04-,E5,Dune Ripple,CEFD,5,29.8689424,1628.771716,206.1185246,16.42791832,9.294925748,0.074850298,13.54359926,4.94046947,27.82931328,10.69444466,1,0.125,9.232925748,8.595434132,1.841878743,0,14.50867251,0.301538395
19,27_M05-,C3,Riffle Pool,UST,3,31.0880829,729.6555928,202.9963194,25.57147211,254.3658115,0.250626564,2.74135876,0.298386357,2.324195385,32.2692337,1.487179518,204.5959517,252.4457181,10.96407686,0,0,48.11550616,0.350639748
20,27_M06-,C3,Riffle Pool,FSTCD,4,32.91679366,1777.202073,200.5331268,25.87625724,182.3932596,0.720288098,9.187279152,2.669715236,2.061248541,24.25714302,1.961538553,75.89466382,181.7559793,11.25364431,1.688046647,0.01396673,137.2220532,1.030230877
